Comment_ID	Text
z12iddmqsz2ewnrje04cez5q5snqxdl5oe0	White Americans are by far the most easily controlled people in the world, they are afraid of anything and everything, they live every day of their lives in fear of the boogey man that isn&#39;t there lol. The only time they ever even speak up is when they are in a group or online but out in the real world they keep their mouths shut out of FEAR lol
z12hcbzyjqewgxj5r04cf55o3qqqfr0p33w	Deport all the Jews to Israel too....let them fight it out among themselves..too many American boys and girls have perished in senseless Dumbya EOP wars!.....eop....enemies of the people....valor....fuck you Sixpense!
z12oefl5mrrmctn5y04cjb35rxeps3awdz00k	is my paycheck gonna get any bigger with this guy as my president?
z13bcbrodwrrvd2go04cdndp3v2tvrijgdc	i am sick and tired of seeing those rag heads demanding for change
z13stt5beuzjvbl5d04ccnewetn4zdjanbo	With that pace, Trump will be bored out of his mind for 3,5 years. &quot;Mike, is there anything else for me to do?&quot; - &quot;No sir, everything is fixed and running like clockwork.&quot;
z125gdoxwsr3xn4am04chvvx2mildf14mgw	I hope Donald Trump, Mike Pence, and Mitch McConnell all die very soon
z13qdtyg4xemjhdz404cgp1w0penyhkrskg0k	usa is the most hated country in the world  at the moment and i m loving it
z12hv5oaypn2hrmei22yy1mhxrrhd15yn04	America first! we are a constitutional Country NEVER Shariah and Moslems who can handle this GET OUT!! our 2nd Ammendment protects us
z12uwvwinzravbuen22uib34tn2zvjnvq	Good
z13ixrfziunbgrbn523gv3eqqpvmhd0vr	Just realized how much I used to shudder and hold my breath whenever someone introduced Obama, this time I feel relief seeing Trump come out after hearing &quot;the president of the United States&quot;.
z130xx4i2kawvrzrb04ch1zj2omszth4kcs	I just wonder how we are going to pay for those new planes and ships?
z13jhjhwounphh4xf04cetcpemqiflp4a2s	he said part of the oath wrong so..........
z12rvnmgluqbdlhu523ksvbpdlrjvbtyq04	my kind of guy and mattis i know hes going to make a  great military again and hes my kind of guy
z12mwdd4az3thbucy233x3kzglaotdyfe	"It must be a curse to have been born <a href=""http://o.in"">o.in</a> either one of those countries and if anyone says otherwise, why are they so desperate to leave such places behind??? Kudos to Mr. Trump for doing what it should have been done decades ago."
z13refkzdmqgg11sm22ryrmwxofoxnddf	The salient question is that the jury is still out on who/what was really behind the 9/11 debacle. .. President Trump should, and I hope will, follow through with his investigation on the real truth behind the so-called 9/11 terrorist attacks.  And watching him so far, he probably will and not fool around with it. Though, what will he do if certain individuals / groups( ie Bush, Cheney, Rumsfeld, CIA et al) in the American government are found to be complicit in the perpetration of this disaster as well as the follow up spurious involvement in the expensive- and wrong- Iraq and Afganistan wars?
